id,canonical_name,aliases,country_iso3,sectors,status,location_precision,lat,lon,geom_wkt,summary,notes,created_at,updated_at
wba_prj_01HREAL101,El Dabaa Nuclear Power Plant,,EGY,other,commissioned,approximate,,,,El Dabaa Nuclear Power Plant by Rosatom,,2026-09-11,2026-09-11
wba_prj_01HREAL102,Egypt High-Speed Rail 2000km,,EGY,railways,commissioned,approximate,,,,Egypt High-Speed Rail 2000km by Siemens Mobility,,2026-09-11,2026-09-11
wba_prj_01HREAL103,Lekki Deep Sea Port,,NGA,ports,commissioned,approximate,,,,Lekki Deep Sea Port by China Harbour Engineering Company,,2026-09-11,2026-09-11
wba_prj_01HREAL104,Zungeru Hydropower 700MW,,NGA,hydropower,commissioned,approximate,,,,Zungeru Hydropower 700MW by Sinohydro,,2026-09-11,2026-09-11
wba_prj_01HREAL105,Nachtigal Hydropower 420MW,,CMR,hydropower,commissioned,approximate,,,,Nachtigal Hydropower 420MW by EDF,,2026-09-11,2026-09-11
wba_prj_01HREAL106,Koysha Hydropower 2200MW,,ETH,hydropower,commissioned,approximate,,,,Koysha Hydropower 2200MW by WeBuild,,2026-09-11,2026-09-11
wba_prj_01HREAL107,Second River Niger Bridge,,NGA,bridges,commissioned,approximate,,,,Second River Niger Bridge by Julius Berger,,2026-09-11,2026-09-11
wba_prj_01HREAL108,Antonio Agostinho Neto Airport Luanda,,AGO,airports,commissioned,approximate,,,,Antonio Agostinho Neto Airport Luanda by AVIC International,,2026-09-11,2026-09-11
wba_prj_01HREAL109,Henri Konan Bedie Bridge,,CIV,bridges,commissioned,approximate,,,,Henri Konan Bedie Bridge by Bouygues Travaux Publics,,2026-09-11,2026-09-11
wba_prj_01HREAL110,Isimba Hydropower 183MW,,UGA,hydropower,commissioned,approximate,,,,Isimba Hydropower 183MW by CWE,,2026-09-11,2026-09-11
wba_prj_01HREAL111,Lagos Blue Line 27km,,NGA,public_transport,commissioned,approximate,,,,Lagos Blue Line 27km by CCECC,,2026-09-11,2026-09-11
wba_prj_01HREAL112,Algiers Metro Line 1,,DZA,public_transport,commissioned,approximate,,,,Algiers Metro Line 1 by VINCI,,2026-09-11,2026-09-11
wba_prj_01HREAL113,Memve'ele Hydropower 211MW,,CMR,hydropower,commissioned,approximate,,,,Memve'ele Hydropower 211MW by Sinohydro,,2026-09-11,2026-09-11
wba_prj_01HREAL114,Lagos-Ibadan Railway 157km,,NGA,railways,commissioned,approximate,,,,Lagos-Ibadan Railway 157km by CCECC,,2026-09-11,2026-09-11
wba_prj_01HREAL115,Benban Solar Park 390MW,,EGY,solar_power,commissioned,approximate,,,,Benban Solar Park 390MW by Scatec,,2026-09-11,2026-09-11
wba_prj_01HREAL116,Tanger Med Port Complex,,MAR,ports,commissioned,approximate,,,,Tanger Med Port Complex by Bouygues Construction,,2026-09-11,2026-09-11
wba_prj_01HREAL117,Casablanca Tramway,,MAR,public_transport,commissioned,approximate,,,,Casablanca Tramway by Alstom,,2026-09-11,2026-09-11
wba_prj_01HREAL118,Kotoka Airport Terminal 3,,GHA,airports,commissioned,approximate,,,,Kotoka Airport Terminal 3 by Mapa Construction,,2026-09-11,2026-09-11
wba_prj_01HREAL119,Medupi Power Station 4800MW,,ZAF,other,commissioned,approximate,,,,Medupi Power Station 4800MW by Hitachi Power Europe,,2026-09-11,2026-09-11
wba_prj_01HREAL120,Gibe III Hydropower 1870MW,,ETH,hydropower,commissioned,approximate,,,,Gibe III Hydropower 1870MW by WeBuild,,2026-09-11,2026-09-11
wba_prj_01HREAL121,Souapiti Hydropower 450MW,,GIN,hydropower,commissioned,approximate,,,,Souapiti Hydropower 450MW by CWE,,2026-09-11,2026-09-11
wba_prj_01HREAL122,Kaleta Hydropower 240MW,,GIN,hydropower,commissioned,approximate,,,,Kaleta Hydropower 240MW by CWE,,2026-09-11,2026-09-11
wba_prj_01HREAL123,Rusumo Falls Hydropower 80MW,,RWA,hydropower,commissioned,approximate,,,,Rusumo Falls Hydropower 80MW by CGCOC Group,,2026-09-11,2026-09-11
wba_prj_01HREAL124,Julius Nyerere Airport Terminal 3,,TZA,airports,commissioned,approximate,,,,Julius Nyerere Airport Terminal 3 by BAM International,,2026-09-11,2026-09-11
wba_prj_01HREAL125,Kinguele Aval Hydropower 35MW,,GAB,hydropower,commissioned,approximate,,,,Kinguele Aval Hydropower 35MW by Sinohydro Bureau 16,,2026-09-11,2026-09-11
wba_prj_01HREAL126,Dar es Salaam BRT Phase 1,,TZA,public_transport,commissioned,approximate,,,,Dar es Salaam BRT Phase 1 by Strabag International,,2026-09-11,2026-09-11
wba_prj_01HREAL127,Abuja-Kaduna Railway 186.5km,,NGA,railways,commissioned,approximate,,,,Abuja-Kaduna Railway 186.5km by CCECC,,2026-09-11,2026-09-11
wba_prj_01HREAL128,Nairobi-Nakuru-Mau Summit Highway,,KEN,roads,commissioned,approximate,,,,Nairobi-Nakuru-Mau Summit Highway by VINCI,,2026-09-11,2026-09-11
wba_prj_01HREAL129,Diamniadio Olympic Stadium 50000,,SEN,other,commissioned,approximate,,,,Diamniadio Olympic Stadium 50000 by Summa Insaat,,2026-09-11,2026-09-11
wba_prj_01HREAL130,Autoroute de l'Avenir 42.5km,,SEN,roads,commissioned,approximate,,,,Autoroute de l'Avenir 42.5km by Eiffage,,2026-09-11,2026-09-11
wba_prj_01HREAL131,Lusaka-Ndola Dual Carriageway 321km,,ZMB,roads,commissioned,approximate,,,,Lusaka-Ndola Dual Carriageway 321km by China Jiangxi,,2026-09-11,2026-09-11
wba_prj_01HREAL132,Kusile Power Station 4800MW,,ZAF,other,commissioned,approximate,,,,Kusile Power Station 4800MW by Mitsubishi Hitachi,,2026-09-11,2026-09-11
wba_prj_01HREAL133,Cairo Light Rail Transit 70km,,EGY,public_transport,commissioned,approximate,,,,Cairo Light Rail Transit 70km by CREC,,2026-09-11,2026-09-11
wba_prj_01HREAL134,Cairo Monorail 99km,,EGY,public_transport,commissioned,approximate,,,,Cairo Monorail 99km by Bombardier/Orascom,,2026-09-11,2026-09-11
wba_prj_01HREAL135,Al Boraq Tangier-Kenitra HSR 323km,,MAR,railways,commissioned,approximate,,,,Al Boraq Tangier-Kenitra HSR 323km by Alstom,,2026-09-11,2026-09-11
wba_prj_01HREAL136,Kano-Maradi Railway 384km,,NGA,railways,commissioned,approximate,,,,Kano-Maradi Railway 384km by Mota-Engil,,2026-09-11,2026-09-11
wba_prj_01HREAL137,Port of Cotonou Extension,,BEN,ports,commissioned,approximate,,,,Port of Cotonou Extension by Eiffage Genie Civil Marine,,2026-09-11,2026-09-11
wba_prj_01HREAL138,Tanzania SGR Phase 1 Dar-Morogoro 205km,,TZA,railways,commissioned,approximate,,,,Tanzania SGR Phase 1 Dar-Morogoro 205km by Yapi Merkezi,,2026-09-11,2026-09-11
wba_prj_01HREAL139,Nador West Med Port,,MAR,ports,commissioned,approximate,,,,Nador West Med Port by STFA/SGTM/Jan De Nul,,2026-09-11,2026-09-11
wba_prj_01HREAL140,Singrobo-Ahouaty 44MW,,CIV,hydropower,commissioned,approximate,,,,Singrobo-Ahouaty 44MW by Eiffage Genie Civil,,2026-09-11,2026-09-11
wba_prj_01HREAL141,Azura-Edo IPP 459MW,,NGA,other,commissioned,approximate,,,,Azura-Edo IPP 459MW by Siemens/Julius Berger,,2026-09-11,2026-09-11
wba_prj_01HREAL142,Berbera Port Expansion 400m,,SOM,ports,commissioned,approximate,,,,Berbera Port Expansion 400m by DP World,,2026-09-11,2026-09-11
wba_prj_01HREAL143,Itezhi-Tezhi 120MW,,ZMB,hydropower,commissioned,approximate,,,,Itezhi-Tezhi 120MW by Sinohydro,,2026-09-11,2026-09-11
wba_prj_01HREAL144,Ashegoda Wind Farm 120MW,,ETH,wind_power,commissioned,approximate,,,,Ashegoda Wind Farm 120MW by Vergnet,,2026-09-11,2026-09-11
wba_prj_01HREAL145,Safi Independent Power Plant 1386MW,,MAR,other,commissioned,approximate,,,,Safi Independent Power Plant 1386MW by Daewoo,,2026-09-11,2026-09-11
wba_prj_01HREAL146,Kpone IPP 350MW,,GHA,other,commissioned,approximate,,,,Kpone IPP 350MW by Group Five,,2026-09-11,2026-09-11
wba_prj_01HREAL147,Bujagali Hydropower 250MW,,UGA,hydropower,commissioned,approximate,,,,Bujagali Hydropower 250MW by WeBuild,,2026-09-11,2026-09-11
wba_prj_01HREAL148,Rabat-Sale Tramway 19.5km,,MAR,public_transport,commissioned,approximate,,,,Rabat-Sale Tramway 19.5km by Alstom,,2026-09-11,2026-09-11
wba_prj_01HREAL149,Karimenu II Dam Water Supply,,KEN,dams,commissioned,approximate,,,,Karimenu II Dam Water Supply by AVIC International,,2026-09-11,2026-09-11
wba_prj_01HREAL150,Taiba N'Diaye Wind Farm 158.7MW,,SEN,wind_power,commissioned,approximate,,,,Taiba N'Diaye Wind Farm 158.7MW by Vestas,,2026-09-11,2026-09-11
